"Player","ppg","rpg","apg","bpg","spg","fg_pct","ft_pct","pct","mvp.prob","mvp.prob.norm"
"Stephen Curry","23.8","4.3","7.7","0.2","2.0",".487",".914",0.817073170731707,0.997552610228092,0.0880398653690132
"James Harden","27.4","5.7","7.0","0.7","1.9",".440",".868",0.682926829268293,0.991639607175617,0.0875180081884205
"Russell Westbrook","28.1","7.3","8.6","0.2","2.1",".426",".835",0.548780487804878,0.932908450850017,0.0823346393687149
"LeBron James","25.3","6.0","7.4","0.7","1.6",".488",".710",0.646341463414634,0.928755386729703,0.0819681071154058
"Chris Paul","19.1","4.6","10.2","0.2","1.9",".485",".900",0.682926829268293,0.88398215910033,0.078016607322603
"Blake Griffin","21.9","7.6","5.3","0.5","0.9",".502",".728",0.682926829268293,0.862865158454293,0.0761529082306329
"Klay Thompson","21.7","3.2","2.9","0.8","1.1",".463",".879",0.817073170731707,0.828838258445715,0.0731498348438617
"Pau Gasol","18.5","11.8","2.7","1.9","0.3",".494",".803",0.609756097560976,0.814930234529344,0.0719223702063161
"LaMarcus Aldridge","23.4","10.2","1.7","1.0","0.7",".466",".845",0.621951219512195,0.735531138509572,0.0649149345559761
"Anthony Davis","24.4","10.2","2.2","2.9","1.5",".535",".805",0.548780487804878,0.718925508183264,0.0634493903397553
"Marc Gasol","17.4","7.8","3.8","1.6","0.9",".494",".795",0.670731707317073,0.444146165464749,0.0391985026260811
"Draymond Green","11.7","8.2","3.7","1.3","1.6",".443",".660",0.817073170731707,0.412303463321085,0.0363881975043565
"Kevin Durant","25.4","6.6","4.1","0.9","0.9",".510",".854",0.548780487804878,0.271461718086368,0.0239580878924273
"Al Horford","15.2","7.2","3.2","1.3","0.9",".538",".759",0.731707317073171,0.246496731266587,0.0217547814642579
"Paul Millsap","16.7","7.8","3.1","0.9","1.8",".476",".757",0.731707317073171,0.192004685427013,0.0169455389940274
"Damian Lillard","21.0","4.6","6.2","0.3","1.2",".434",".864",0.621951219512195,0.178394152963411,0.0157443297210427
"Tim Duncan","13.9","9.1","3.0","1.9","0.8",".512",".740",0.670731707317073,0.164713131561666,0.0145368993860703
"Jeff Teague","15.9","2.5","7.0","0.4","1.7",".460",".862",0.731707317073171,0.10754608940641,0.00949157281052002
"DeAndre Jordan","11.5","15.0","0.7","2.2","1.0",".710",".397",0.682926829268293,0.086858160301265,0.00766574179719207
"John Wall","17.6","4.6","10.0","0.6","1.7",".445",".785",0.560975609756098,0.0835712244865187,0.00737565044397444
